occurrence_no;record_type;reid_no;flags;collection_no;accepted_name;accepted_attr;accepted_rank;accepted_no;early_interval;late_interval;max_ma;min_ma
38781;occ;NA;NA;2955;Gisortia mahgoobi;NA;species;111504;Lutetian;;48.07;41.03
38801;occ;NA;NA;2958;Gisortia ibrahimi;NA;species;111505;Bartonian;;41.03;37.71
38858;occ;NA;NA;2960;Bernaya quarunensis;NA;species;111506;Bartonian;;41.03;37.71
40221;occ;NA;NA;3115;Bernaya;NA;genus;9543;Paleocene;;66;56
42424;occ;NA;NA;3315;Barycypraea saltoensis;NA;species;158362;Late Eocene;;37.71;33.9
42427;occ;NA;NA;3315;Gisortia colombiana;NA;species;158358;Late Eocene;;37.71;33.9
44858;occ;NA;NA;3534;Cypraeorbis ventripotens;NA;species;342144;Bartonian;;41.03;37.71
55997;occ;NA;NA;4187;Cypraea;NA;genus;9724;Late Maastrichtian;;72.2;66
73264;occ;NA;NA;5344;Cypraea;NA;genus;9724;Bartonian;;41.03;37.71
73481;occ;NA;NA;5353;Cypraea;NA;genus;9724;Bartonian;;41.03;37.71
73524;occ;NA;NA;5354;Cypraea;NA;genus;9724;Bartonian;;41.03;37.71
73699;occ;NA;NA;5362;Cypraea;NA;genus;9724;Priabonian;;37.71;33.9
73730;occ;NA;NA;5363;Cypraea;NA;genus;9724;Priabonian;;37.71;33.9
73794;occ;NA;NA;5366;Cypraea;NA;genus;9724;Bartonian;;41.03;37.71
73857;occ;NA;NA;5367;Cypraea;NA;genus;9724;Bartonian;;41.03;37.71
74537;occ;NA;NA;5496;Bernaya grovesi;NA;species;342624;Ypresian;;56;48.07
74933;occ;41332;NA;5542;Subepona leahae;NA;species;479093;Lutetian;;48.07;41.03
85548;occ;32437;NA;6146;Bernaya (Bernaya) burlingtonensis;NA;species;335090;Late Campanian;;83.6;72.2
95207;occ;NA;NA;6002;Cypraeorbis sphaeroides;NA;species;342312;Rupelian;;33.9;27.3
95266;occ;NA;NA;6005;Cypraeorbis sphaeroides;NA;species;342312;Rupelian;;33.9;27.3
97744;occ;32026;NA;7456;Bernaya (Protocypraea) mississippiensis;NA;species;335108;Early Campanian;Middle Campanian;83.6;72.2
