it	posterior	likelihood	prior	lik_L_149-0	lik_M_149-0	l0_t149-0	m0_t149-0	Gl_t149-0	Gm_t149-0	hp_rate	hp_sig2	beta
0	-3447.3117062900265	-3445.221748317963	-2.0899579720633352	-1521.482459369056	-1923.7392889489067	0.23456830663405306	0.01751259901993678	0.0	0.0	1.0	1	1.0
1000	-2843.1950319233483	-2841.0274918527425	-2.167540070605775	-1492.8486423626418	-1348.1788494901007	0.17572916124803975	0.15393384294838958	0.0	0.0	1.0	1	1.0
2000	-2820.263447991615	-2818.1093340509005	-2.154113940714686	-1488.0782669068294	-1330.031067144071	0.17193355852614467	0.1309089281057129	-0.5287868046682342	-1.0912619248857438	1.9912408587059387	2.095709961991696	1.0
3000	-2820.409838715244	-2818.8309514558177	-1.5788872594260845	-1488.4124322896653	-1330.4185191661527	0.1743759546216372	0.1292507850765272	-0.519817915236331	-1.0623595769044154	2.2397064123679655	0.550306597744445	1.0
4000	-2822.3600334398125	-2818.1732800641475	-4.186753375664889	-1488.7746310130567	-1329.398649051091	0.16992173932923405	0.13319430276057892	-0.826823512852585	-1.2869165962517657	0.6193482289234998	0.8763698074694604	1.0
5000	-2823.8902219474458	-2819.600349094191	-4.2898728532547725	-1487.8251501487828	-1331.7751989454086	0.16262468201728336	0.1190004006203178	-0.7631284717633772	-1.2534300364932114	3.059049466731047	0.19763590843024403	1.0
6000	-2821.5002276389396	-2817.6668310710756	-3.833396567864095	-1487.9987341111391	-1329.6680969599365	0.17139735619464	0.135607058063623	-0.5626615093571232	-1.335387494066922	1.3864760992811387	0.30900025130051584	1.0
7000	-2822.381813521043	-2820.4849867087914	-1.8968268122518523	-1488.6565005726975	-1331.8284861360937	0.15391826255536145	0.11719429685345213	-0.6891962753355937	-1.3702511556178698	2.4498481561612917	0.9503566976727953	1.0
8000	-2821.2263348941087	-2818.6094110141366	-2.6169238799719388	-1488.4230151443348	-1330.1863958698018	0.17230671105282844	0.12327961452513742	-0.41424564951778353	-1.5740210603656666	1.7094378484741002	1.9438668730333462	1.0
9000	-2822.4003295681673	-2818.2483112596105	-4.152018308556778	-1487.7639101517507	-1330.4844011078599	0.1685322739765755	0.13194624817115652	-0.5530087065911247	-1.5912249838355383	0.799418334347395	0.7321813901188375	1.0
10000	-2823.8164768066845	-2818.2319549766057	-5.584521830078913	-1488.2903433132253	-1329.9416116633804	0.1736053217335525	0.1308673677161823	-0.5613218089121205	-1.530369995864702	1.6776699284381322	0.23174850319016588	1.0
11000	-2823.2189010737115	-2819.607618649411	-3.611282424300362	-1488.5485250130864	-1331.0590936363246	0.17061752301096778	0.14381987278126895	-0.36800864890253565	-1.0421056965428932	0.6264115205788438	0.37912606494668033	1.0
