it	posterior	prior	BD_lik	k_birth	k_death	RJ_hp	root_age	death_age	tot_length
0	-4584.751498049072	-12.880024918549648	-4571.871473130523	1	1	1	147.7878483103789	0.0	3256.3355761243356
1000	-2838.631904659144	-18.10876394542528	-2820.5231407137185	1	2	1.165532529452759	147.7878483103789	0.0	3256.3355761243356
2000	-2804.8123665394874	-40.24970661129154	-2764.562659928196	4	3	3.221003517690752	147.7878483103789	0.0	3256.3355761243356
3000	-2787.734300046566	-35.919583937414686	-2751.8147161091515	3	3	2.5398959891442034	147.7878483103789	0.0	3256.3355761243356
4000	-2777.390891760029	-51.40939053597652	-2725.9815012240524	4	4	2.963922702699324	147.7878483103789	0.0	3256.3355761243356
5000	-2780.6019047201225	-52.997555440770086	-2727.6043492793524	4	4	2.408387958169245	147.7878483103789	0.0	3256.3355761243356
6000	-2774.588048888136	-56.71860947683864	-2717.8694394112977	5	4	3.5492605301244033	147.7878483103789	0.0	3256.3355761243356
7000	-2767.5297849656367	-62.445046087881195	-2705.0847388777556	5	4	4.3017435599393075	147.7878483103789	0.0	3256.3355761243356
8000	-2768.6118052987354	-62.27355159386054	-2706.3382537048747	5	4	3.1046035865211494	147.7878483103789	0.0	3256.3355761243356
9000	-2771.4398837063604	-54.46426220448534	-2716.975621501875	5	3	3.538719072688562	147.7878483103789	0.0	3256.3355761243356
10000	-2766.5534021617386	-64.03567486664943	-2702.517727295089	6	4	4.098388096332169	147.7878483103789	0.0	3256.3355761243356
11000	-2761.351794041837	-64.12435911358457	-2697.2274349282525	6	4	3.7356653734989202	147.7878483103789	0.0	3256.3355761243356
12000	-2764.7439640792395	-67.69292908998686	-2697.0510349892525	6	4	4.146553165503479	147.7878483103789	0.0	3256.3355761243356
13000	-2759.483499246053	-69.97154053497886	-2689.511958711074	6	5	4.192448114615106	147.7878483103789	0.0	3256.3355761243356
14000	-2767.661036965449	-71.75212566673821	-2695.908911298711	6	5	5.047973602853466	147.7878483103789	0.0	3256.3355761243356
15000	-2757.7547808634836	-63.55303669218606	-2694.2017441712974	6	4	1.9309460050605174	147.7878483103789	0.0	3256.3355761243356
16000	-2759.9690602102046	-60.714739339924535	-2699.25432087028	6	4	4.067386716826007	147.7878483103789	0.0	3256.3355761243356
17000	-2765.4881969959415	-68.319738604986	-2697.1684583909555	6	4	5.248056096462949	147.7878483103789	0.0	3256.3355761243356
18000	-2763.5898664857577	-69.18757720439247	-2694.4022892813655	6	4	4.770892867329705	147.7878483103789	0.0	3256.3355761243356
19000	-2764.7037920220832	-62.62416972252102	-2702.0796222995623	6	4	4.7576248235120895	147.7878483103789	0.0	3256.3355761243356
20000	-2777.129114180399	-72.45118745687736	-2704.6779267235215	7	4	2.7066920397594263	147.7878483103789	0.0	3256.3355761243356
21000	-2756.305171986502	-65.2662215458769	-2691.0389504406253	6	5	4.651369153333937	147.7878483103789	0.0	3256.3355761243356
22000	-2753.910849351573	-66.13200464877394	-2687.778844702799	6	5	5.780845044998274	147.7878483103789	0.0	3256.3355761243356
23000	-2770.189775521299	-76.06090915567796	-2694.128866365621	6	6	4.225859436121987	147.7878483103789	0.0	3256.3355761243356
24000	-2772.0005658420737	-76.84538895925614	-2695.1551768828176	8	4	6.112476619304614	147.7878483103789	0.0	3256.3355761243356
25000	-2759.059690327519	-70.09140244164918	-2688.96828788587	6	5	4.654573533028361	147.7878483103789	0.0	3256.3355761243356
26000	-2758.444555781849	-68.40906336750572	-2690.0354924143435	6	5	3.6412524880900747	147.7878483103789	0.0	3256.3355761243356
27000	-2761.3185596908042	-68.78111277998062	-2692.5374469108237	6	5	5.4600458700222365	147.7878483103789	0.0	3256.3355761243356
28000	-2764.017279357254	-63.324500803856424	-2700.6927785533976	6	4	4.673077404530722	147.7878483103789	0.0	3256.3355761243356
29000	-2769.4255460466056	-67.78715867210184	-2701.638387374504	6	5	4.62210983642072	147.7878483103789	0.0	3256.3355761243356
30000	-2755.842502047784	-70.35360476124838	-2685.4888972865356	6	5	4.2164205979338565	147.7878483103789	0.0	3256.3355761243356
