Species	Status	min_age	max_age
Gisortia_mahgoobi	extinct	41.03	48.07
Gisortia_ibrahimi	extinct	37.71	41.03
Bernaya_quarunensis	extinct	37.71	41.03
Bernaya	extinct	56	66
Barycypraea_saltoensis	extinct	33.9	37.71
Gisortia_colombiana	extinct	33.9	37.71
Cypraeorbis_ventripotens	extinct	37.71	41.03
Cypraea	extinct	66	72.2
Cypraea	extinct	37.71	41.03
Cypraea	extinct	37.71	41.03
Cypraea	extinct	37.71	41.03
Cypraea	extinct	33.9	37.71
Cypraea	extinct	33.9	37.71
Cypraea	extinct	37.71	41.03
Cypraea	extinct	37.71	41.03
Bernaya_grovesi	extinct	48.07	56
Subepona_leahae	extinct	41.03	48.07
Bernaya_(Bernaya)_burlingtonensis	extinct	72.2	83.6
Cypraeorbis_sphaeroides	extinct	27.3	33.9
Cypraeorbis_sphaeroides	extinct	27.3	33.9
Bernaya_(Protocypraea)_mississippiensis	extinct	72.2	83.6
Palaeocypraea_(Palaeocypraea)_corsicanana	extinct	72.2	83.6
Palaeocypraea_nuciformis	extinct	66	72.2
Palaeocypraea_(Palaeocypraea)_corsicanana	extinct	72.2	83.6
Cypraeorbis_bulbus	extinct	48.07	56
Cypraeorbis_bulbus	extinct	48.07	56
Gisortia_brevis	extinct	59.24	61.66
Eopustularia_brackleshamensis	extinct	41.03	48.07
Zonaria_globosa	extinct	23.04	27.3
Cypraea	extinct	56	66
Gisortia_clarki	extinct	56	66
Archicypraea	extinct	61.66	66
Protocypraea	extinct	59.24	61.66
Palaeocypraea	extinct	61.66	66
Palaeocypraea	extinct	61.66	66
Protocypraea	extinct	61.66	66
Zonaria	extinct	61.66	66
Lyncina_amygdalina	extinct	56	59.24
Lyncina_amygdalina	extinct	56	59.24
Cypraea	extinct	56	59.24
Cypraea	extinct	56	59.24
Lyncina_amygdalina	extinct	56	59.24
Cypraea	extinct	56	59.24
Lyncina_(Austrocypraea)_archeri	extinct	13.82	20.45
Notoluponia_murraviana	extinct	13.82	20.45
Cypraea	extinct	13.82	20.45
Cypraeidae	extinct	1.11	13.82
Cypraea	extinct	5.333	7.246
Cypraea	extinct	5.333	7.246
Cypraeidae	extinct	7.246	1.11
Cypraea	extinct	1.11	13.82
Cypraea	extinct	59.24	66
Neobernaya_spadicea	extant	0	1.02
Neobernaya_spadicea	extant	0	1.02
Erosaria_citrina	extinct	5.333	1.11
Erosaria_poraria	extant	1.02	5.333
Cypraea_problematica	extinct	0.774	1.02
Staphylaea_limacina	extinct	1.02	3.06
Cypraea	extinct	0.0117	0.129
Cypraea	extinct	0.0117	0.129
Cypraea_problematica	extinct	0.774	1.02
Akleistostoma_carolinensis	extinct	0.0117	5.333
Cypraea	extinct	37.71	41.03
Cypraea	extinct	37.71	41.03
Cypraea	extinct	37.71	41.03
Cypraea	extinct	37.71	41.03
Cypraea	extinct	37.71	41.03
Cypraea	extinct	37.71	41.03
Cypraea	extinct	37.71	41.03
Cypraea	extinct	37.71	41.03
Cypraea	extinct	37.71	41.03
Cypraea	extinct	41.03	48.07
Cypraea	extinct	0.774	1.02
Gisortia_(Vicetia)_stefaninii	extinct	48.07	56
Gisortia_gigantea	extinct	41.03	48.07
Gisortia_(Vicetia)_stefaninii	extinct	33.9	37.71
Gisortia_(Vicetia)_stefaninii	extinct	33.9	37.71
Erronea_(Cribraria)_cincta	extinct	5.333	1.11
Cypraea_(Lyncina)_lynx	extant	5.333	1.11
