time	diversity	m_div	M_div
0.0	79.0	79.0	79.0
0.10012726850296674	86.0	86.0	86.0
0.2002545370059335	86.0	86.0	86.0
0.30038180550890026	86.0	86.0	86.0
0.400509074011867	84.0	84.0	84.0
0.5006363425148337	76.0	76.0	76.0
0.6007636110178005	77.0	77.0	77.0
0.7008908795207672	77.0	77.0	77.0
0.801018148023734	79.0	79.0	79.0
0.9011454165267007	77.0	77.0	77.0
1.0012726850296674	76.0	76.0	76.0
1.1013999535326342	75.0	75.0	75.0
1.201527222035601	69.0	69.0	69.0
1.3016544905385676	68.0	68.0	68.0
1.4017817590415345	69.0	69.0	69.0
1.501909027544501	71.0	71.0	71.0
1.602036296047468	71.0	71.0	71.0
1.7021635645504347	73.0	73.0	73.0
1.8022908330534013	77.0	77.0	77.0
1.9024181015563681	77.0	77.0	77.0
2.0025453700593348	80.0	80.0	80.0
2.102672638562302	83.0	83.0	83.0
2.2027999070652684	91.0	91.0	91.0
2.302927175568235	92.0	92.0	92.0
2.403054444071202	97.0	97.0	97.0
2.5031817125741687	102.0	102.0	102.0
2.6033089810771353	102.0	102.0	102.0
2.703436249580102	104.0	104.0	104.0
2.803563518083069	109.0	109.0	109.0
2.9036907865860355	122.0	122.0	122.0
3.003818055089002	127.0	127.0	127.0
3.103945323591969	128.0	128.0	128.0
3.204072592094936	125.0	125.0	125.0
3.3041998605979024	122.0	122.0	122.0
3.4043271291008694	116.0	116.0	116.0
3.504454397603836	111.0	111.0	111.0
3.6045816661068026	110.0	110.0	110.0
3.7047089346097697	105.0	105.0	105.0
3.8048362031127363	101.0	101.0	101.0
3.904963471615703	96.0	96.0	96.0
4.0050907401186695	88.0	88.0	88.0
4.1052180086216365	81.0	81.0	81.0
4.205345277124604	79.0	79.0	79.0
4.30547254562757	77.0	77.0	77.0
4.405599814130537	75.0	75.0	75.0
4.505727082633504	71.0	71.0	71.0
4.60585435113647	70.0	70.0	70.0
4.705981619639437	69.0	69.0	69.0
4.806108888142404	71.0	71.0	71.0
4.90623615664537	71.0	71.0	71.0
5.006363425148337	71.0	71.0	71.0
5.1064906936513035	69.0	69.0	69.0
5.2066179621542705	69.0	69.0	69.0
5.306745230657238	69.0	69.0	69.0
5.406872499160204	68.0	68.0	68.0
5.506999767663171	67.0	67.0	67.0
5.607127036166138	64.0	64.0	64.0
5.707254304669104	64.0	64.0	64.0
5.807381573172071	62.0	62.0	62.0
5.907508841675038	60.0	60.0	60.0
6.007636110178004	59.0	59.0	59.0
6.107763378680971	57.0	57.0	57.0
6.207890647183938	56.0	56.0	56.0
6.3080179156869045	55.0	55.0	55.0
6.408145184189872	52.0	52.0	52.0
6.508272452692839	54.0	54.0	54.0
6.608399721195805	53.0	53.0	53.0
6.708526989698772	51.0	51.0	51.0
6.808654258201739	51.0	51.0	51.0
6.908781526704705	50.0	50.0	50.0
7.008908795207672	50.0	50.0	50.0
7.109036063710639	51.0	51.0	51.0
7.209163332213605	51.0	51.0	51.0
7.309290600716572	51.0	51.0	51.0
7.409417869219539	51.0	51.0	51.0
7.5095451377225055	49.0	49.0	49.0
7.609672406225473	50.0	50.0	50.0
7.70979967472844	49.0	49.0	49.0
7.809926943231406	49.0	49.0	49.0
7.910054211734373	49.0	49.0	49.0
8.010181480237339	49.0	49.0	49.0
8.110308748740307	50.0	50.0	50.0
8.210436017243273	50.0	50.0	50.0
8.31056328574624	51.0	51.0	51.0
8.410690554249207	51.0	51.0	51.0
8.510817822752173	51.0	51.0	51.0
8.61094509125514	51.0	51.0	51.0
8.711072359758107	52.0	52.0	52.0
8.811199628261074	52.0	52.0	52.0
8.91132689676404	53.0	53.0	53.0
9.011454165267008	52.0	52.0	52.0
9.111581433769974	52.0	52.0	52.0
9.21170870227294	52.0	52.0	52.0
9.311835970775908	53.0	53.0	53.0
9.411963239278874	54.0	54.0	54.0
9.51209050778184	54.0	54.0	54.0
9.612217776284808	55.0	55.0	55.0
9.712345044787774	54.0	54.0	54.0
9.81247231329074	56.0	56.0	56.0
9.912599581793707	57.0	57.0	57.0
10.012726850296675	57.0	57.0	57.0
10.11285411879964	58.0	58.0	58.0
10.212981387302607	59.0	59.0	59.0
10.313108655805575	59.0	59.0	59.0
10.413235924308541	59.0	59.0	59.0
10.513363192811507	58.0	58.0	58.0
10.613490461314475	58.0	58.0	58.0
10.713617729817441	60.0	60.0	60.0
10.813744998320407	61.0	61.0	61.0
10.913872266823375	61.0	61.0	61.0
11.013999535326342	62.0	62.0	62.0
11.114126803829308	63.0	63.0	63.0
11.214254072332276	64.0	64.0	64.0
11.314381340835242	65.0	65.0	65.0
11.414508609338208	66.0	66.0	66.0
11.514635877841176	66.0	66.0	66.0
11.614763146344142	67.0	67.0	67.0
11.714890414847108	68.0	68.0	68.0
11.815017683350076	70.0	70.0	70.0
11.915144951853042	70.0	70.0	70.0
