Species	Status
Adusta_pulchella	extant
Afrocypraea_chubbi	extinct
Afrozoila_caputavisensis	extinct
Afrozoila_gendinganensis	extinct
Afrozoila_kendengensis	extinct
Afrozoila_schilderi	extinct
Afrozoila_zietsmani	extinct
Akleistostoma	extinct
Akleistostoma_bairdi	extinct
Akleistostoma_carolinensis	extinct
Akleistostoma_crocodila	extinct
Akleistostoma_diegelae	extinct
Akleistostoma_erici	extinct
Akleistostoma_floridana	extinct
Akleistostoma_hughesi	extinct
Akleistostoma_jenniferae	extinct
Akleistostoma_macbrideae	extinct
Akleistostoma_pilsbryi	extinct
Akleistostoma_rilkoi	extinct
Archicypraea	extinct
Archicypraea_ancillaria	extinct
Archicypraea_bellardiana	extinct
Archicypraea_lioyi	extinct
Archicypraea_prisca	extinct
Archicypraea_superba	extinct
Arestorides_argus	extant
Austrocypraea_amae	extinct
Austrocypraea_contusa	extinct
Austrocypraea_goudeyana	extinct
Austrocypraea_rumballi	extinct
Austrocypraea_towncreekensis	extinct
Barycypraea_bensoni	extinct
Barycypraea_caputviperae	extinct
Barycypraea_humerosa	extinct
Barycypraea_murisimilis	extinct
Barycypraea_orangensis	extinct
Barycypraea_saltoensis	extinct
Barycypraea_singuensis	extinct
Barycypraea_subtetragona	extinct
Barycypraea_suryai	extinct
Bernaya	extinct
Bernaya_(Bernaya)_azevedoi	extinct
Bernaya_(Bernaya)_baluchistanensis	extinct
Bernaya_(Bernaya)_beardi	extinct
Bernaya_(Bernaya)_burlingtonensis	extinct
Bernaya_(Bernaya)_coromandelica	extinct
Bernaya_(Bernaya)_crawfordcatei	extinct
Bernaya_(Bernaya)_depereti	extinct
Bernaya_(Bernaya)_ellipsoides	extinct
Bernaya_(Bernaya)_gemmellaroi	extinct
Bernaya_(Bernaya)_jeanae	extinct
Bernaya_(Bernaya)_obesa	extinct
Bernaya_(Protocypraea)_argonautica	extinct
Bernaya_(Protocypraea)_berryessae	extinct
Bernaya_(Protocypraea)_cunliffei	extinct
Bernaya_(Protocypraea)_globuliformis	extinct
Bernaya_(Protocypraea)_gualalaensis	extinct
Bernaya_(Protocypraea)_kayei	extinct
Bernaya_(Protocypraea)_kohatica	extinct
Bernaya_(Protocypraea)_louellasaulae	extinct
Bernaya_(Protocypraea)_mississippiensis	extinct
Bernaya_(Protocypraea)_popenoei	extinct
Bernaya_(Protocypraea)_rineyi	extinct
Bernaya_(Protocypraea)_sayni	extinct
Bernaya_(Protocypraea)_veraghoorensis	extinct
Bernaya_grovesi	extinct
Bernaya_kaylinae	extinct
Bernaya_quarunensis	extinct
Bistolida	extinct
Bistolida_erythraeensis	extant
Callistocypraea_(Miolyncina)_prunum	extinct
Callistocypraea_(Miolyncina)_soriensis	extinct
Calusacypraea_(Myakkacypraea)_kelleyi	extinct
Calusacypraea_(Myakkacypraea)_myakka	extinct
Calusacypraea_(Myakkacypraea)_schnireli	extinct
Calusacypraea_briani	extinct
Calusacypraea_globulina	extinct
Calusacypraea_sarasotaensis	extinct
Calusacypraea_tequesta	extinct
Chelycypraea_(Miolyncina)_subovum	extinct
Cribrarula_cribraria	extant
Cribrarula_gaskoini	extant
Cypraea	extinct
Cypraea_(Aricia)_beberkiriana	extinct
Cypraea_(Aricia)_simplicissima	extinct
Cypraea_(Cypraea)	extinct
Cypraea_(Cypraeorbis)_heilprinii	extinct
Cypraea_(Erosaria)_caputserpentis	extant
Cypraea_(Erosaria)_guttata	extant
Cypraea_(Erosaria)_helvola	extant
Cypraea_(Erosaria)_malekulensis	extinct
Cypraea_(Erosaria)_sindiensis	extinct
Cypraea_(Erronea)_mbalavuensis	extinct
Cypraea_(Luponia)_subchinensis	extinct
Cypraea_(Luria)_cinerea	extant
Cypraea_(Luria)_isabella_lekalekana	extinct
Cypraea_(Lyncina)_lynx	extant
Cypraea_(Lyncina)_porteri	extant
Cypraea_(Lyncina)_schilderorum	extant
Cypraea_(Lyncina)_vitellus	extant
Cypraea_(Macrocypraea)_spengleri	extant
Cypraea_(Mauritia)_histrio	extant
Cypraea_(Palmadusta)_asellus	extant
Cypraea_(Purpuradusta)_fimbriata	extant
Cypraea_(Staphylaea)_nucleus	extant
Cypraea_(Zoila)_itoigawai	extinct
Cypraea_boucheti	extinct
Cypraea_ohiroi	extinct
Cypraea_pantherina	extant
Cypraea_pediculus	extinct
Cypraea_pennae	extinct
Cypraea_problematica	extinct
Cypraea_sulcosa	extinct
Cypraea_tigris	extinct
Cypraeacites_inflatus	extinct
Cypraeacites_persona	extinct
Cypraeidae	extinct
Cypraeinae	extinct
Cypraeopsis_(Cypraeopsis)_aquensis	extinct
Cypraeopsis_vandervlerki	extinct
Cypraeorbis	extinct
Cypraeorbis_alabamensis	extinct
Cypraeorbis_arlettae	extinct
Cypraeorbis_boggsi	extinct
Cypraeorbis_bulbus	extinct
Cypraeorbis_exsplendens	extinct
Cypraeorbis_gaasensis	extinct
Cypraeorbis_kendrewi	extinct
Cypraeorbis_noveli	extinct
Cypraeorbis_nuculoides	extinct
Cypraeorbis_sphaeroides	extinct
Cypraeorbis_splendens	extinct
Cypraeorbis_vaughani	extinct
Cypraeorbis_ventripotens	extinct
Cypraeorbis_vesicularis	extinct
Cypraeorbis_willcoxi	extinct
Cypraeorbis_willcoxi_ballista	extinct
Cypraeovula	extinct
Cypraeovula_(Cypraeovula)_capensis	extant
Eclogavena_quadrimaculata	extinct
Eopustularia_acyensis	extinct
Eopustularia_balinka	extinct
Eopustularia_bartonensis	extinct
Eopustularia_brackleshamensis	extinct
Eopustularia_gregorioi	extinct
Eopustularia_moloni	extinct
Eotrivia_(Eotrivia)_bouryi	extinct
Eotrivia_baronensis	extinct
Eotrivia_faracii	extinct
Eotrivia_palumbella	extinct
Eotrivia_pedicularis	extinct
Eotrivia_procera	extinct
Eotrivia_recluzi	extinct
Eratotrivia_crenata	extinct
Erosaria	extinct
Erosaria_(Erosaria)_kutaiana	extinct
Erosaria_(Erosaria)_pliostaphylaea	extinct
Erosaria_(Erosaria)_sabahensis	extant
Erosaria_acicularis	extant
Erosaria_aliena	extinct
Erosaria_cernica	extant
Erosaria_citrina	extinct
Erosaria_eburnea	extant
Erosaria_erosa	extant
Erosaria_everwijni	extinct
Erosaria_labrolineata	extant
Erosaria_miliaris	extinct
Erosaria_ocellata	extant
Erosaria_poraria	extant
Erosaria_spurca	extant
Erosaria_turdus	extant
Erronea	extinct
Erronea_(Adusta)_cowiei	extant
Erronea_(Adusta)_ijzermani	extinct
Erronea_(Adusta)_jungens	extinct
Erronea_(Adusta)_onyx	extinct
Erronea_(Adusta)_posewitzi	extant
Erronea_(Adusta)_proxima	extinct
Erronea_(Adusta)_rembangensis	extinct
Erronea_(Adusta)_semicostata	extinct
Erronea_(Adusta)_sondeiana	extinct
Erronea_(Cribraria)	extinct
Erronea_(Cribraria)_cincta	extinct
Erronea_(Gratiadusta)_nasuta	extinct
Erronea_(Melicerona)_felina	extant
Erronea_caurica	extant
Erronea_cylindrica	extinct
Erronea_errones	extant
Erronea_pyriformis	extant
Eucypraea_ahmadi	extinct
Fossacypraea_apiceproducta	extinct
Fossacypraea_eburnina	extinct
Fossacypraea_extusdentata	extinct
Fossacypraea_hieroglyphica	extinct
Gisortia	extinct
Gisortia_(Vicetia)_hantkeni	extinct
Gisortia_(Vicetia)_stefaninii	extinct
Gisortia_brevis	extinct
Gisortia_clarki	extinct
Gisortia_colombiana	extinct
Gisortia_gigantea	extinct
Gisortia_harrisi	extinct
Gisortia_ibrahimi	extinct
Gisortia_mahgoobi	extinct
Gisortia_murchisoni	extinct
Gisortia_tuberculosa	extinct
Ipsa_childreni	extant
Jousseaumea_diluviana	extinct
Jousseaumea_grateloupi	extinct
Jousseaumea_joossi	extinct
Jousseaumea_sublyncoides	extinct
Jousseaumea_taurorotunda	extinct
Loxacypraea_apalachicolae	extinct
Loxacypraea_chilona	extinct
Loxacypraea_colligens	extinct
Loxacypraea_emilyae	extinct
Loxacypraea_genei	extinct
Loxacypraea_orbignyana	extinct
Loxacypraea_plumbea	extinct
Luria	extinct
Luria_(Basilitrona)_jenkinsi	extinct
Luria_(Basilitrona)_patrespatriae	extinct
Luria_(Tessellata)_cahuzaci	extinct
Luria_(Tessellata)_castinea	extinct
Luria_(Tessellata)_chattica	extinct
Luria_(Tessellata)_pelouaensis	extinct
Luria_campbelliana	extinct
Luria_cantaurana	extinct
Luria_dominicensis	extinct
Luria_isabella	extant
Luria_isabellaprimitiva	extinct
Luria_lurida	extant
Luria_mariaelisabethae	extinct
Luria_tessellata	extant
Luria_voleki	extant
Lyncina_(Austrocypraea)_archeri	extinct
Lyncina_(Austrocypraea)_onkastoma	extinct
Lyncina_(Austrocypraea)_scalena	extinct
Lyncina_amygdalina	extinct
Lyncina_camelopardalis	extant
Lyncina_carneola	extant
Lyncina_cingulata	extinct
Lyncina_eristicos	extinct
Lyncina_imperialis	extinct
Lyncina_leviathan	extant
Lyncina_maestratii	extinct
Lyncina_magnifica	extinct
Lyncina_miopropinqua	extinct
Lyncina_peyroti	extinct
Lyncina_praecedens	extinct
Lyncina_tumida	extinct
Macrocypraea	extinct
Macrocypraea_anguillana	extinct
Macrocypraea_cervus	extant
Macrocypraea_joanneae	extinct
Macrocypraea_veintensis	extinct
Macrocypraea_zebra	extant
Mandolina_pergibba	extinct
Mandolina_rhomboidalis	extinct
Mauritia_(Mauritia)_uzestensis	extinct
Mauritia_arabica	extant
Mauritia_eglantina	extant
Mauritia_grayana	extant
Mauritia_maculifera	extant
