"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","phylum_no","class","class_no","order","order_no","family","family_no","genus","genus_no","subgenus_no","abund_value","abund_unit","collection_name","collection_subset","collection_aka","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","paleomodel","geoplate","paleoage","paleolng","paleolat","formation","stratgroup","member","formation","stratgroup","member","stratscale","zone","localsection","localbed","localbedunit","localorder","regionalsection","regionalbed","regionalbedunit","regionalorder","stratcomments","lithdescript","lithology1","lithification1","minor_lithology1","lithology2","lithification2","minor_lithology2","environment","primary_reference","created","modified","updated","time_bins","time_contain","time_major","time_buffer","time_overlap"
"38781","occ","","","2955","Gisortia mahgoobi","species","111504","","Gisortia mahgoobi","species","111504","Lutetian","","48.07","41.03","130","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Gisortia","9895","","","","Egypt 5 (Mokattam)","","","31.250000","30.049999","EG","","","based on political unit","minutes","local area","around the area of Mokattam","gplates","715","mid","32.97","17.09","","","","","","","","","","","","","","","","","this is a Middle Eocene, Upper Lutetian list","","""shale""","","calcareous","""limestone""","","","","H. L. Abbass. 1967. A monograph on the Egyptian Paleocene and Eocene gastropods. United Arab Republic, Geological Survey-Geological Museum, Palaeontological Series, Monograph (4):1-154","1999-07-23 04:53:58","2017-09-11 17:28:09","","Lutetian","Lutetian","Lutetian","Lutetian","Lutetian"
"38801","occ","","","2958","Gisortia ibrahimi","species","111505","","Gisortia ibrahimi","species","111505","Bartonian","","41.03","37.71","130","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Gisortia","9895","","","","Egypt 8 (Ras El Ghorab)","","","32.360001","25.440001","EG","","","based on political unit","seconds","local area","in the area of Ras El Ghorab","gplates","715","mid","33.55","13.87","","","","","","","","","","","","","","","","","","","""carbonate""","","","","","","","H. L. Abbass. 1967. A monograph on the Egyptian Paleocene and Eocene gastropods. United Arab Republic, Geological Survey-Geological Museum, Palaeontological Series, Monograph (4):1-154","1999-07-23 05:14:53","1999-07-23 07:14:53","","Bartonian","Bartonian","Bartonian","Bartonian","Bartonian"
"38858","occ","","","2960","Bernaya quarunensis","species","111506","","Bernaya quarunensis","species","111506","Bartonian","","41.03","37.71","130","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Bernaya","9543","","","","Egypt 10 (Fayium)","","","30.833332","29.316668","EG","","","based on political unit","minutes","local area","around the area of Fayium","gplates","715","mid","32.40","17.82","","","","","","","","","","","","","","","","","","","""carbonate""","","","","","","","H. L. Abbass. 1967. A monograph on the Egyptian Paleocene and Eocene gastropods. United Arab Republic, Geological Survey-Geological Museum, Palaeontological Series, Monograph (4):1-154","1999-07-23 05:34:24","1999-07-23 07:34:24","","Bartonian","Bartonian","Bartonian","Bartonian","Bartonian"
"40221","occ","","","3115","Bernaya sp.","genus","9543","","Bernaya","genus","9543","Paleocene","","66","56","142","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Bernaya","9543","","","","Halde Sportplatz Ratheim","","","6.183333","51.066666","DE","","","based on political unit","minutes","","","gplates","315","mid","13.81","40.22","","","","","","","","","","","","","","","","","","","","","","","","","","H. -J. Anderson. 1975. Die Fauna der palaeocaenen Hueckelhovener Schichten aus dem Schacht Sophia Jacoba 6 (Erkelenzer Horst, Niederrheinische Bucht). Teil 3: Scaphopoda, Gastropoda, Cephalopoda. Geologica et Palaeontologica 9:141-171","1999-07-27 04:47:00","1999-07-27 06:47:00","","-","-","-","Selandian","Danian, Selandian, Thanetian"
"42424","occ","","","3315","Cypraea n. sp. saltoensis","species","158362","recombined as","Barycypraea saltoensis","species","158362","Late Eocene","","37.71","33.9","182","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Barycypraea","9527","","","","UC S60","","","-75.116669","9.683333","CO","Bolivar","","based on nearby landmark","minutes","small collection","in Carmen area","gplates","203","mid","-63.37","9.58","","","","","","","group of beds","","El Carmen","C","","","","","","","","","sandstone","","calcareous","conglomerate","","","","B. L. Clark and J. W. Durham. 1946. Eocene Faunas from the Department of Bolivar, Colombia. Geological Society of America Memoir 16:1-126","1999-07-29 11:58:03","2016-06-27 15:03:14","","Priabonian","Priabonian","Priabonian","Priabonian","Priabonian"
"42427","occ","","","3315","Gisortia colombiana","species","158358","","Gisortia colombiana","species","158358","Late Eocene","","37.71","33.9","182","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Gisortia","9895","","","","UC S60","","","-75.116669","9.683333","CO","Bolivar","","based on nearby landmark","minutes","small collection","in Carmen area","gplates","203","mid","-63.37","9.58","","","","","","","group of beds","","El Carmen","C","","","","","","","","","sandstone","","calcareous","conglomerate","","","","B. L. Clark and J. W. Durham. 1946. Eocene Faunas from the Department of Bolivar, Colombia. Geological Society of America Memoir 16:1-126","1999-07-29 11:58:03","2016-06-27 15:03:14","","Priabonian","Priabonian","Priabonian","Priabonian","Priabonian"
"44858","occ","","","3534","Cypraeorbis ventripotens","species","342147","","Cypraeorbis ventripotens","species","342144","Bartonian","","41.03","37.71","124","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Cypraeorbis","9730","","3","specimens","Montgomery Landing (Moodys Branch)","","","-92.147224","32.234165","US","Louisiana","Grant","based on nearby landmark","seconds","small collection","Montgomery Landing, on the Red River in SE1/4 sec. 25, T 8 N, R 5 W","gplates","101","mid","-74.86","36.59","Moodys Branch","Jackson","","Moodys Branch","Jackson","","group of beds","","","","","","","","","","supposedly ""Auversian""; stage assignment based on Baum et al. 1994\r\nMoodys Branch=Bartonian (JAS 14 October 2010)","","sandstone","","","","","","marine indet.","L. D. Toulmin. 1977. Stratigraphic Distribution of Paleocene and Eocene Fossils in the Eastern Gulf Coast Region. Geological Survey of Alabama, Monograph 13(1):1-602","1999-08-04 09:22:02","1999-08-04 11:22:02","","Bartonian","Bartonian","Bartonian","Bartonian","Bartonian"
"55997","occ","","","4187","""Cypraea"" sp.","genus","9724","","Cypraea","genus","9724","Late Maastrichtian","","72.2","66","283","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Cypraea","9724","","1","specimens","USGS 5400, 6802, Livingston","","Sohl and Koch OFR # 120","-88.195000","32.573055","US","Alabama","Sumter","based on nearby landmark","seconds","outcrop","Livingston-Curls Station road, about three-quarters of a mile south of the courthouse at Livingston, Ala., and just south of the bridge over Sucarnochee Creek.","gplates","101","mid","-54.84","38.86","Prairie Bluff","","","Prairie Bluff","","","group of beds","Discoscaphites conradi","","","","","","","","","Haustator bilira assemblage zone","","claystone","","","","","","marine indet.","N. F. Sohl and C. F. Koch. 1983. Upper Cretaceous (Maestrichtian) Mollusca from the Haustator bilira Assemblage Zone in the East Gulf Coastal Plain. USGS Open File Report 83-451:1-239","1999-08-14 11:00:00","2025-03-12 11:07:06","","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian","Maastrichtian"
"73264","occ","","","5344","Cypraea sp.","genus","9724","","Cypraea","genus","9724","Bartonian","","41.03","37.71","318","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Cypraea","9724","","","","BE-0 (Upper Santee Limestone, South Carolina)","","","-80.148613","33.327221","US","South Carolina","Berkeley","based on political unit","seconds","outcrop","Martin-Marietta Berkeley Quarry; 2.4 km S of the intersection of S.C. 6 and Co. Rd. 59; locality deduced to be near the town of Cross. Coordinates based on Cross, SC.","gplates","109","mid","-62.35","35.61","Santee Limestone","","","Santee Limestone","","","group of beds","Cubitostrea lisbonensis/Pteropis lapidosa","","","","","","","","","This collection is from the upper Santee Limestone.","the santee limestone is composed primarily of bryozoan biosparrudites and biomicrudites which grade laterally westward into foraminiferal biomicrites and diatomites.","grainstone","lithified","","wackestone","","","marine indet.","R. J. Powell and G. R. Baum. 1982. Eocene biostratigraphy of South Carolina and its relationship to Gulf Coastal Plain zonations and global changes of coastal onlap. Geological Society of America Bulletin 93:1099-1108","1999-09-27 06:36:49","1999-09-27 08:36:49","","Bartonian","Bartonian","Bartonian","Bartonian","Bartonian"
"73481","occ","","","5353","Cypraea sp.","genus","9724","","Cypraea","genus","9724","Bartonian","","41.03","37.71","318","Mollusca","7805","Gastropoda","8304","Sorbeoconcha","62297","Cypraeidae","60047","Cypraea","9724","","","","BE-8 (Santee Limestone, South Carolina)","","","-80.147781","33.375000","US","South Carolina","Berkeley","based on political unit","seconds","outcrop","Eastern side of intersection of S.C. 45 and the Diversion Canal, northern Berkeley County; coordinates based on spoil piles of Rte 45 between Eadytown and Cross.","gplates","109","mid","-62.34","35.66","Santee Limestone","","","Santee Limestone","","","group of beds","Cubitostrea sellaeformis/Pteropis lapidosa","","","","","","","","","This collection is from the upper Santee Limestone.","the santee limestone is composed primarily of bryozoan biosparrudites and biomicrudites which grade laterally westward into foraminiferal biomicrites and diatomites.","grainstone","lithified","","wackestone","","","marine indet.","R. J. Powell and G. R. Baum. 1982. Eocene biostratigraphy of South Carolina and its relationship to Gulf Coastal Plain zonations and global changes of coastal onlap. Geological Society of America Bulletin 93:1099-1108","1999-09-27 08:49:43","1999-09-27 10:49:43","","Bartonian","Bartonian","Bartonian","Bartonian","Bartonian"
