occurrence_no;record_type;reid_no;flags;collection_no;identified_name;identified_rank;identified_no;difference;accepted_name;accepted_rank;accepted_no;early_interval;late_interval;max_ma;min_ma;reference_no;phylum;phylum_no;class;class_no;order;order_no;family;family_no;genus;genus_no;subgenus_no;abund_value;abund_unit;collection_name;collection_subset;collection_aka;lng;lat;cc;state;county;latlng_basis;latlng_precision;geogscale;geogcomments;paleomodel;geoplate;paleoage;paleolng;paleolat;formation;stratgroup;member;formation;stratgroup;member;stratscale;zone;localsection;localbed;localbedunit;localorder;regionalsection;regionalbed;regionalbedunit;regionalorder;stratcomments;lithdescript;lithology1;lithification1;minor_lithology1;lithology2;lithification2;minor_lithology2;environment;primary_reference;created;modified;updated;time_bins;time_contain;time_major;time_buffer;time_overlap
38781;occ;;;2955;Gisortia mahgoobi;species;111504;;Gisortia mahgoobi;species;111504;Lutetian;;48.07;41.03;130;Mollusca;7805;Gastropoda;8304;Sorbeoconcha;62297;Cypraeidae;60047;Gisortia;9895;;;;Egypt 5 (Mokattam);;;31.250.000;30.049.999;EG;;;based on political unit;minutes;local area;around the area of Mokattam;gplates;715;mid;32.97;17.sept;;;;;;;;;;;;;;;;;this is a Middle Eocene, Upper Lutetian list;;"""shale""";;calcareous;"""limestone""";;;;H. L. Abbass. 1967. A monograph on the Egyptian Paleocene and Eocene gastropods. United Arab Republic, Geological Survey-Geological Museum, Palaeontological Series, Monograph (4):1-154;23.07.99 04:53;11.09.17 17:28;;Lutetian;Lutetian;Lutetian;Lutetian;Lutetian
38801;occ;;;2958;Gisortia ibrahimi;species;111505;;Gisortia ibrahimi;species;111505;Bartonian;;41.03;37.71;130;Mollusca;7805;Gastropoda;8304;Sorbeoconcha;62297;Cypraeidae;60047;Gisortia;9895;;;;Egypt 8 (Ras El Ghorab);;;32.360.001;25.440.001;EG;;;based on political unit;seconds;local area;in the area of Ras El Ghorab;gplates;715;mid;33.55;13.87;;;;;;;;;;;;;;;;;;;"""carbonate""";;;;;;;H. L. Abbass. 1967. A monograph on the Egyptian Paleocene and Eocene gastropods. United Arab Republic, Geological Survey-Geological Museum, Palaeontological Series, Monograph (4):1-154;23.07.99 05:14;23.07.99 07:14;;Bartonian;Bartonian;Bartonian;Bartonian;Bartonian
38858;occ;;;2960;Bernaya quarunensis;species;111506;;Bernaya quarunensis;species;111506;Bartonian;;41.03;37.71;130;Mollusca;7805;Gastropoda;8304;Sorbeoconcha;62297;Cypraeidae;60047;Bernaya;9543;;;;Egypt 10 (Fayium);;;30.833.332;29.316.668;EG;;;based on political unit;minutes;local area;around the area of Fayium;gplates;715;mid;32.40;17.82;;;;;;;;;;;;;;;;;;;"""carbonate""";;;;;;;H. L. Abbass. 1967. A monograph on the Egyptian Paleocene and Eocene gastropods. United Arab Republic, Geological Survey-Geological Museum, Palaeontological Series, Monograph (4):1-154;23.07.99 05:34;23.07.99 07:34;;Bartonian;Bartonian;Bartonian;Bartonian;Bartonian
40221;occ;;;3115;Bernaya sp.;genus;9543;;Bernaya;genus;9543;Paleocene;;66;56;142;Mollusca;7805;Gastropoda;8304;Sorbeoconcha;62297;Cypraeidae;60047;Bernaya;9543;;;;Halde Sportplatz Ratheim;;;6.183.333;51.066.666;DE;;;based on political unit;minutes;;;gplates;315;mid;13.81;40.22;;;;;;;;;;;;;;;;;;;;;;;;;;H. -J. Anderson. 1975. Die Fauna der palaeocaenen Hueckelhovener Schichten aus dem Schacht Sophia Jacoba 6 (Erkelenzer Horst, Niederrheinische Bucht). Teil 3: Scaphopoda, Gastropoda, Cephalopoda. Geologica et Palaeontologica 9:141-171;27.07.99 04:47;27.07.99 06:47;;-;-;-;Selandian;Danian, Selandian, Thanetian
42424;occ;;;3315;Cypraea n. sp. saltoensis;species;158362;recombined as;Barycypraea saltoensis;species;158362;Late Eocene;;37.71;33.9;182;Mollusca;7805;Gastropoda;8304;Sorbeoconcha;62297;Cypraeidae;60047;Barycypraea;9527;;;;UC S60;;;-75.116.669;9.683.333;CO;Bolivar;;based on nearby landmark;minutes;small collection;in Carmen area;gplates;203;mid;-63.37;sept.58;;;;;;;group of beds;;El Carmen;C;;;;;;;;;sandstone;;calcareous;conglomerate;;;;B. L. Clark and J. W. Durham. 1946. Eocene Faunas from the Department of Bolivar, Colombia. Geological Society of America Memoir 16:1-126;29.07.99 11:58;27.06.16 15:03;;Priabonian;Priabonian;Priabonian;Priabonian;Priabonian
42427;occ;;;3315;Gisortia colombiana;species;158358;;Gisortia colombiana;species;158358;Late Eocene;;37.71;33.9;182;Mollusca;7805;Gastropoda;8304;Sorbeoconcha;62297;Cypraeidae;60047;Gisortia;9895;;;;UC S60;;;-75.116.669;9.683.333;CO;Bolivar;;based on nearby landmark;minutes;small collection;in Carmen area;gplates;203;mid;-63.37;sept.58;;;;;;;group of beds;;El Carmen;C;;;;;;;;;sandstone;;calcareous;conglomerate;;;;B. L. Clark and J. W. Durham. 1946. Eocene Faunas from the Department of Bolivar, Colombia. Geological Society of America Memoir 16:1-126;29.07.99 11:58;27.06.16 15:03;;Priabonian;Priabonian;Priabonian;Priabonian;Priabonian
44858;occ;;;3534;Cypraeorbis ventripotens;species;342147;;Cypraeorbis ventripotens;species;342144;Bartonian;;41.03;37.71;124;Mollusca;7805;Gastropoda;8304;Sorbeoconcha;62297;Cypraeidae;60047;Cypraeorbis;9730;;3;specimens;Montgomery Landing (Moodys Branch);;;-92.147.224;32.234.165;US;Louisiana;Grant;based on nearby landmark;seconds;small collection;Montgomery Landing, on the Red River in SE1/4 sec. 25, T 8 N, R 5 W;gplates;101;mid;-74.86;36.59;Moodys Branch;Jackson;;Moodys Branch;Jackson;;group of beds;;;;;;;;;;"supposedly ""Auversian""";;;;;;;;;;;;;;;;;
55997;occ;;;4187;"""Cypraea"" sp.";genus;9724;;Cypraea;genus;9724;Late Maastrichtian;;72.2;66;283;Mollusca;7805;Gastropoda;8304;Sorbeoconcha;62297;Cypraeidae;60047;Cypraea;9724;;1;specimens;USGS 5400, 6802, Livingston;;Sohl and Koch OFR # 120;-88.195.000;32.573.055;US;Alabama;Sumter;based on nearby landmark;seconds;outcrop;Livingston-Curls Station road, about three-quarters of a mile south of the courthouse at Livingston, Ala., and just south of the bridge over Sucarnochee Creek.;gplates;101;mid;-54.84;38.86;Prairie Bluff;;;Prairie Bluff;;;group of beds;Discoscaphites conradi;;;;;;;;;Haustator bilira assemblage zone;;claystone;;;;;;marine indet.;N. F. Sohl and C. F. Koch. 1983. Upper Cretaceous (Maestrichtian) Mollusca from the Haustator bilira Assemblage Zone in the East Gulf Coastal Plain. USGS Open File Report 83-451:1-239;14.08.99 11:00;12.03.25 11:07;;Maastrichtian;Maastrichtian;Maastrichtian;Maastrichtian;Maastrichtian
73264;occ;;;5344;Cypraea sp.;genus;9724;;Cypraea;genus;9724;Bartonian;;41.03;37.71;318;Mollusca;7805;Gastropoda;8304;Sorbeoconcha;62297;Cypraeidae;60047;Cypraea;9724;;;;BE-0 (Upper Santee Limestone, South Carolina);;;-80.148.613;33.327.221;US;South Carolina;Berkeley;based on political unit;seconds;outcrop;Martin-Marietta Berkeley Quarry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73481;occ;;;5353;Cypraea sp.;genus;9724;;Cypraea;genus;9724;Bartonian;;41.03;37.71;318;Mollusca;7805;Gastropoda;8304;Sorbeoconcha;62297;Cypraeidae;60047;Cypraea;9724;;;;BE-8 (Santee Limestone, South Carolina);;;-80.147.781;33.375.000;US;South Carolina;Berkeley;based on political unit;seconds;outcrop;Eastern side of intersection of S.C. 45 and the Diversion Canal, northern Berkeley County;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
